Count,Repo_Name,Description,Forks,Stars,Watchers,Open_Issues,Created_Date,Size
226,coremltools,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",567,3740,3740,274,2017-06-30T07:39:02Z,52165
227,marqo,Vector search for humans. Also available on cloud - cloud.marqo.ai,155,3736,3736,138,2022-08-01T12:12:51Z,72221
228,s2client-proto,StarCraft II Client - protocol definitions used to communicate with StarCraft II.,424,3708,3708,83,2017-07-22T01:09:21Z,316
229,deit,Official DeiT repository,529,3673,3673,18,2020-12-23T17:44:43Z,5863
230,DAMO-YOLO,"DAMO-YOLO: a fast and accurate object detection method with some new techs, including NAS backbones, efficient RepGFPN, ZeroHead, AlignedOTA, and distillation enhancement.",451,3649,3649,25,2022-11-27T14:22:54Z,35219
231,CLUE,"中文语言理解测评基准 Chinese Language Understanding Evaluation Benchmark: datasets, baselines, pre-trained models, corpus and leaderboard  ",532,3628,3628,77,2019-11-22T08:25:02Z,2779
232,Doctor-Dignity,"Doctor Dignity is an LLM that can pass the US Medical Licensing Exam. It works offline, it's cross-platform, & your health data stays private.",370,3624,3624,23,2023-08-06T18:02:55Z,13913
233,mlfinlab,"MlFinLab helps portfolio managers and traders who want to leverage the power of machine learning by providing reproducible, interpretable, and easy to use tools. ",1081,3615,3615,38,2019-02-13T16:57:25Z,644
234,DouZero,[ICML 2021] DouZero: Mastering DouDizhu with Self-Play Deep Reinforcement Learning | 斗地主AI,516,3608,3608,23,2021-06-02T01:55:56Z,196
235,x-transformers,A simple but complete full-attention transformer with a set of promising experimental features from various papers,310,3595,3595,50,2020-10-24T22:13:25Z,38918
236,software-papers,📚 A curated list of papers for Software Engineers,164,3593,3593,2,2022-07-04T00:01:33Z,166
237,stylegan2-pytorch,"Simplest working implementation of Stylegan2, state of the art generative adversarial network, in Pytorch. Enabling everyone to experience disentanglement",587,3577,3577,126,2020-01-09T18:23:31Z,5140
238,ROCm,AMD ROCm™ Software - GitHub Home,296,3571,3571,470,2016-03-18T00:24:29Z,83674
239,mmaction2,OpenMMLab's Next Generation Video Understanding Toolbox and Benchmark,1123,3568,3568,233,2020-07-11T07:19:10Z,71467
240,CS-Notes,我的自学笔记，终身更新，当前专注System基础、MLSys。,485,3568,3568,3,2020-04-16T15:57:58Z,70183
241,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,"A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Learning / Machine Vision / NLP and industry specific areas such as Climate / Energy, Automotives, Retail, Pharma, Medicine, Healthcare, Policy, Ethics and more.",1642,3544,3544,152,2017-07-13T19:46:01Z,1888976
242,3DDFA,The PyTorch improved version of TPAMI 2017 paper: Face Alignment in Full Pose Range: A 3D Total Solution.,674,3496,3496,60,2018-06-29T14:19:21Z,83387
243,GraphEmbedding,Implementation and experiments  of graph embedding algorithms.,1014,3473,3473,43,2019-02-11T16:27:20Z,681
244,sd-webui-EasyPhoto,📷 EasyPhoto | Your Smart AI Photo Generator.,264,3471,3471,31,2023-08-28T10:46:27Z,71685
245,LASER,Language-Agnostic SEntence Representations,447,3447,3447,53,2018-06-20T15:18:09Z,52586
246,TinyLlama,The TinyLlama project is an open endeavor to pretrain a 1.1B Llama model on 3 trillion tokens.,141,3398,3398,10,2023-09-02T08:12:09Z,2452
247,sd-scripts,,555,3364,3364,333,2022-12-18T04:32:15Z,4717
248,dm_control,"Google DeepMind's software stack for physics-based simulation and Reinforcement Learning environments, using MuJoCo.",630,3350,3350,80,2017-12-29T18:13:15Z,94506
249,Resume-Matcher,"Resume Matcher is an open source, free tool to improve your resume. It works by using language models to compare and rank resumes with job descriptions. ",842,3342,3342,27,2020-04-08T03:26:49Z,100948
250,pipelines,Machine Learning Pipelines for Kubeflow,1493,3328,3328,1071,2018-05-12T00:31:47Z,333773
251,weight-loss,Machine Learning meets  ketosis: how to effectively lose weight,157,3316,3316,5,2016-07-09T23:54:59Z,1136
252,multinerf,"A Code Release for Mip-NeRF 360, Ref-NeRF, and RawNeRF",319,3313,3313,93,2022-07-22T22:47:15Z,121
253,PyTorch-StudioGAN,StudioGAN is a Pytorch library providing implementations of representative Generative Adversarial Networks (GANs) for conditional/unconditional image generation.,326,3311,3311,36,2020-06-19T04:09:13Z,30620
254,PyTorch-BigGraph,Generate embeddings from large-scale graph-structured data.,445,3309,3309,65,2018-10-01T20:41:16Z,623
255,FedML,"FEDML - The unified and scalable ML library for large-scale distributed training, model serving, and federated learning. FEDML Launch, a cross-cloud scheduler, further enables running any AI jobs on any GPU cloud or on-premise cluster. Built on this library, FEDML Nexus AI (https://nexus.fedml.ai) is the dedicated cloud service for next-gen AI",738,3294,3294,112,2020-07-21T22:41:25Z,930504
256,flower,Flower: A Friendly Federated Learning Framework,655,3292,3292,364,2020-02-17T11:51:29Z,98537
257,100-Days-of-ML-Code-Chinese-Version,Chinese Translation for Machine Learning Infographics,927,3291,3291,6,2018-08-05T13:58:34Z,2478
258,SinGAN,"Official pytorch implementation of the paper: ""SinGAN: Learning a Generative Model from a Single Natural Image""",617,3262,3262,106,2019-08-17T23:37:07Z,97168
259,AdelaiDet,AdelaiDet is an open source toolbox for multiple instance-level detection and recognition tasks.,644,3262,3262,300,2020-01-23T03:48:55Z,639
260,ploomber,"The fastest ⚡️ way to build data pipelines. Develop iteratively, deploy anywhere. ☁️",222,3259,3259,99,2020-01-20T20:13:06Z,6879
261,hummingbird,Hummingbird compiles trained ML models into tensor computation for faster inference.,269,3242,3242,61,2020-03-12T20:27:03Z,14606
262,kubernetes-workshop,⚙️ A Gentle introduction to Kubernetes with more than just the basics. 🌟 Give it a star if you like it.,242,3225,3225,8,2019-08-17T20:14:22Z,887
263,learn_math_fast,"This is the Curriculum for ""How to Learn Mathematics Fast"" By Siraj Raval on Youtube",617,3211,3211,3,2018-06-20T01:04:24Z,44
264,GraphSAGE,Representation learning on large graphs using stochastic graph convolutions.,823,3201,3201,119,2017-05-29T15:36:22Z,6589
265,Reco-papers,Classic papers and resources on recommendation,800,3197,3197,2,2018-05-29T17:29:04Z,177084
266,ChatDoctor,,357,3192,3192,42,2023-03-21T23:40:31Z,9992
267,catalyst,Accelerated deep learning R&D,401,3186,3186,0,2018-08-20T07:56:13Z,54739
268,seq2seq,Sequence to Sequence Learning with Keras,858,3173,3173,105,2015-11-07T07:37:12Z,171
269,Deep-Learning-Roadmap,:satellite: Organized Resources for Deep Learning Researchers and Developers,325,3160,3160,2,2018-08-12T22:12:56Z,13152
270,RepVGG,RepVGG: Making VGG-style ConvNets Great Again,430,3155,3155,42,2020-12-31T08:53:43Z,565
271,Merlion,Merlion: A Machine Learning Framework for Time Series Intelligence,273,3145,3145,25,2021-07-28T15:30:56Z,105802
272,nvitop,"An interactive NVIDIA-GPU process viewer and beyond, the one-stop solution for GPU process management.",110,3134,3134,4,2021-01-25T12:17:02Z,1483
273,MUSE,A library for Multilingual Unsupervised or Supervised word Embeddings,544,3130,3130,79,2017-10-23T18:20:39Z,215
274,lightning-hydra-template,PyTorch Lightning + Hydra. A very user-friendly template for ML experimentation.  ⚡🔥⚡,523,3125,3125,51,2020-11-04T14:30:09Z,3780
275,PARL,A high-performance distributed training framework for Reinforcement Learning ,818,3099,3099,125,2018-04-25T17:54:22Z,48298
276,awesome-mlops,:sunglasses: A curated list of awesome MLOps tools,461,3082,3082,4,2020-05-25T22:53:26Z,383
277,neural-style-tf,TensorFlow (Python API) implementation of Neural Style,878,3080,3080,69,2016-10-08T20:42:56Z,87286
278,baize-chatbot,Let ChatGPT teach your own chatbot in hours with a single GPU!,264,3076,3076,35,2023-03-31T17:56:03Z,71064
279,igel,"a delightful machine learning tool that allows you to train, test, and use models without writing code",168,3073,3073,6,2020-08-27T20:54:59Z,19702
280,simpledet,A Simple and Versatile Framework for Object Detection and Instance Recognition,492,3070,3070,44,2019-01-29T08:28:55Z,1407
281,h2o-llmstudio,H2O LLM Studio - a framework and no-code GUI for fine-tuning LLMs. Documentation: https://h2oai.github.io/h2o-llmstudio/,320,3007,3007,33,2023-04-17T17:56:33Z,21077
282,deepvariant,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,704,2972,2972,9,2017-11-23T01:56:22Z,398654
283,opyrator,"🪄 Turns your machine learning code into microservices with web API, interactive GUI, and more.",155,2957,2957,6,2021-04-06T08:09:06Z,2906
284,mmselfsup,OpenMMLab Self-Supervised Learning Toolbox and Benchmark,417,2949,2949,47,2020-06-12T05:29:42Z,3551
285,munki,Managed software installation for macOS —,340,2946,2946,80,2014-09-19T06:51:32Z,19692
286,manga-image-translator,Translate manga/image 一键翻译各类图片内文字 https://cotrans.touhou.ai/,306,2942,2942,74,2021-02-18T03:03:23Z,65442
287,RecBole,"A unified, comprehensive and efficient recommendation library",553,2931,2931,185,2020-06-11T15:18:11Z,19646
288,nlp-architect,A model library for exploring state-of-the-art deep learning topologies and techniques for optimizing Natural Language Processing neural networks,466,2922,2922,14,2018-05-17T21:00:13Z,556787
289,DeepQA,"My tensorflow implementation of ""A neural conversational model"", a Deep learning based chatbot",1195,2916,2916,94,2016-07-07T17:17:20Z,11833
290,uwsgi-nginx-flask-docker,Docker image with uWSGI and Nginx for Flask applications in Python running in a single container. Optionally with Alpine Linux.,603,2903,2903,28,2016-02-14T16:32:58Z,351
291,TensorFlow-Object-Detection-API-Tutorial-Train-Multiple-Objects-Windows-10,How to train a TensorFlow Object Detection Classifier for multiple object detection on Windows,1309,2886,2886,414,2018-02-10T04:53:03Z,59161
292,pytorch-optimizer,torch-optimizer -- collection of optimizers for Pytorch,285,2883,2883,50,2020-01-03T03:16:39Z,48349
293,awesome-hand-pose-estimation,Awesome work on hand pose estimation/tracking,532,2880,2880,3,2017-03-22T15:52:31Z,409922
294,easy-tensorflow,Simple and comprehensive tutorials in TensorFlow,374,2872,2872,3,2017-11-30T20:02:40Z,20737
295,ml-glossary,Machine learning glossary,710,2863,2863,20,2017-04-20T16:05:19Z,8350
296,alpa,Training and serving large-scale neural networks with auto parallelization.,336,2858,2858,73,2021-02-22T03:21:23Z,7485
297,ml-engineering,Machine Learning Engineering Online Book,156,2849,2849,3,2020-09-02T19:23:01Z,2345
298,pybrain,,792,2847,2847,157,2009-07-02T10:34:58Z,13611
299,towhee,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.,249,2844,2844,8,2021-07-13T08:28:50Z,38972
300,rllab,"rllab is a framework for developing and evaluating reinforcement learning algorithms, fully compatible with OpenAI Gym.",806,2824,2824,117,2016-04-21T17:21:22Z,1557
301,deepvariant,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,704,2972,2972,9,2017-11-23T01:56:22Z,398654
302,opyrator,"🪄 Turns your machine learning code into microservices with web API, interactive GUI, and more.",155,2957,2957,6,2021-04-06T08:09:06Z,2906
303,mmselfsup,OpenMMLab Self-Supervised Learning Toolbox and Benchmark,417,2949,2949,47,2020-06-12T05:29:42Z,3551
304,munki,Managed software installation for macOS —,340,2946,2946,80,2014-09-19T06:51:32Z,19692
305,manga-image-translator,Translate manga/image 一键翻译各类图片内文字 https://cotrans.touhou.ai/,306,2942,2942,74,2021-02-18T03:03:23Z,65442
306,RecBole,"A unified, comprehensive and efficient recommendation library",553,2931,2931,185,2020-06-11T15:18:11Z,19646
307,nlp-architect,A model library for exploring state-of-the-art deep learning topologies and techniques for optimizing Natural Language Processing neural networks,466,2922,2922,14,2018-05-17T21:00:13Z,556787
308,DeepQA,"My tensorflow implementation of ""A neural conversational model"", a Deep learning based chatbot",1195,2916,2916,94,2016-07-07T17:17:20Z,11833
309,uwsgi-nginx-flask-docker,Docker image with uWSGI and Nginx for Flask applications in Python running in a single container. Optionally with Alpine Linux.,603,2903,2903,28,2016-02-14T16:32:58Z,351
310,TensorFlow-Object-Detection-API-Tutorial-Train-Multiple-Objects-Windows-10,How to train a TensorFlow Object Detection Classifier for multiple object detection on Windows,1309,2886,2886,414,2018-02-10T04:53:03Z,59161
311,pytorch-optimizer,torch-optimizer -- collection of optimizers for Pytorch,285,2883,2883,50,2020-01-03T03:16:39Z,48349
312,awesome-hand-pose-estimation,Awesome work on hand pose estimation/tracking,532,2880,2880,3,2017-03-22T15:52:31Z,409922
313,easy-tensorflow,Simple and comprehensive tutorials in TensorFlow,374,2872,2872,3,2017-11-30T20:02:40Z,20737
314,ml-glossary,Machine learning glossary,710,2863,2863,20,2017-04-20T16:05:19Z,8350
315,alpa,Training and serving large-scale neural networks with auto parallelization.,336,2858,2858,73,2021-02-22T03:21:23Z,7485
316,ml-engineering,Machine Learning Engineering Online Book,156,2849,2849,3,2020-09-02T19:23:01Z,2345
317,pybrain,,792,2847,2847,157,2009-07-02T10:34:58Z,13611
318,towhee,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.,249,2844,2844,8,2021-07-13T08:28:50Z,38972
319,mljar-supervised,"Python package for AutoML on Tabular Data with Feature Engineering, Hyper-Parameters Tuning, Explanations and Automatic Documentation",368,2826,2826,131,2018-11-05T12:58:04Z,9799
320,rllab,"rllab is a framework for developing and evaluating reinforcement learning algorithms, fully compatible with OpenAI Gym.",806,2824,2824,117,2016-04-21T17:21:22Z,1557
321,XLM,PyTorch original implementation of Cross-lingual Language Model Pretraining.,478,2822,2822,128,2019-02-02T00:15:33Z,188
322,stellargraph,StellarGraph - Machine Learning on Graphs,416,2813,2813,320,2018-04-13T07:35:51Z,97013
323,img2dataset,"Easily turn large sets of image urls to an image dataset. Can download, resize and package 100M urls in 20h on one machine.",273,2803,2803,111,2021-08-11T20:20:15Z,3189
324,pointnet2,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,879,2799,2799,183,2017-08-31T03:18:54Z,650
325,freqtrade-strategies,Free trading strategies for Freqtrade bot,1041,2797,2797,9,2018-01-21T08:31:17Z,27596
326,musiclm-pytorch,"Implementation of MusicLM, Google's new SOTA model for music generation using attention networks, in Pytorch",231,2794,2794,21,2023-01-27T15:39:13Z,201
327,keras-attention,Keras Attention Layer (Luong and Bahdanau scores).,679,2786,2786,2,2017-05-23T05:28:01Z,4270
328,PocketFlow,An Automatic Model Compression (AutoMC) framework for developing smaller and faster AI applications.,499,2768,2768,75,2018-10-31T07:45:21Z,1190
329,thinc,"🔮 A refreshing functional take on deep learning, compatible with your favorite libraries",282,2767,2767,19,2014-10-16T16:34:59Z,11048
330,lingvo,Lingvo,435,2766,2766,127,2018-07-24T22:30:28Z,148116
331,sklearn-pandas,Pandas integration with sklearn,422,2758,2758,38,2013-04-22T22:55:20Z,430
332,pylearn2,Warning: This project does not have any current developer. See bellow.,1107,2743,2743,200,2010-11-22T18:00:50Z,26032
333,zvt,modular quant framework.,805,2741,2741,24,2019-04-04T08:06:57Z,43792
334,graphics,TensorFlow Graphics: Differentiable Graphics Layers for TensorFlow,366,2734,2734,143,2019-01-08T10:39:44Z,7414
335,narrator,David Attenborough narrates your life,272,2704,2704,21,2023-11-14T20:10:10Z,218
336,torchscale,Foundation Architecture for (M)LLMs,172,2692,2692,12,2022-11-17T08:55:59Z,294
337,ranking,Learning to Rank in TensorFlow,476,2685,2685,85,2018-12-03T20:48:57Z,6514
338,awesome-hacking,Awesome hacking is an awesome collection of hacking tools.,547,2668,2668,6,2016-11-03T21:51:08Z,2199
339,ffcv,FFCV: Fast Forward Computer Vision (and other ML workloads!),172,2661,2661,99,2021-10-13T17:03:39Z,3406
340,ml-road,"Machine Learning Resources, Practice and Research",1008,2657,2657,3,2017-10-31T04:36:37Z,360300
341,tslearn,A machine learning toolkit dedicated to time-series data,323,2656,2656,127,2017-05-04T13:08:13Z,7415
342,mars,"Mars is a tensor-based unified framework for large-scale data computation which scales numpy, pandas, scikit-learn and Python functions.",319,2654,2654,211,2018-12-05T16:04:03Z,38755
343,awesome-testflight-link,Collection of Testflight public app link（iOS/iPad OS/macOS）。,117,2653,2653,2,2019-10-16T01:59:09Z,1962
344,DeepCTR-Torch,"【PyTorch】Easy-to-use,Modular and Extendible package of deep-learning based CTR models.",644,2638,2638,44,2019-09-06T13:00:06Z,5550
345,scenic,Scenic: A Jax Library for Computer Vision Research and Beyond,353,2628,2628,195,2021-07-12T14:27:08Z,57182
346,professional-services,Common solutions and tools developed by Google Cloud's Professional Services team. This repository and its contents are not an officially supported Google product.,1285,2604,2604,48,2017-05-18T19:29:27Z,370814
347,kserve,Standardized Serverless ML Inference Platform on Kubernetes,859,2601,2601,360,2019-03-27T21:14:14Z,426463
348,deepwalk,DeepWalk - Deep Learning for Graphs,832,2600,2600,45,2014-08-23T03:38:20Z,21784
349,deepsparse,Sparsity-aware deep learning inference runtime for CPUs,150,2577,2577,29,2020-12-14T17:40:38Z,142982
350,foolbox,"A Python toolbox to create adversarial examples that fool neural networks in PyTorch, TensorFlow, and JAX",418,2572,2572,26,2017-06-14T13:05:48Z,11128
351,TextAttack,"TextAttack 🐙  is a Python framework for adversarial attacks, data augmentation, and model training in NLP https://textattack.readthedocs.io/en/master/",349,2562,2562,48,2019-10-15T00:51:44Z,26458
352,docarray,"Represent, send, store and search multimodal data",205,2559,2559,73,2021-12-14T15:26:24Z,252674
353,alphatensor,,215,2553,2553,4,2022-09-22T11:09:20Z,7663
354,a-PyTorch-Tutorial-to-Image-Captioning,"Show, Attend, and Tell | a PyTorch Tutorial to Image Captioning",700,2543,2543,110,2018-05-30T03:00:58Z,13197
355,cnn-benchmarks,Benchmarks for popular CNN models,411,2511,2511,21,2016-07-13T06:46:20Z,100
356,HackingNeuralNetworks,A small course on exploiting and defending neural networks,305,2493,2493,0,2019-10-15T23:33:18Z,21090
357,KAIR,"Image Restoration Toolbox (PyTorch). Training and testing codes for DPIR, USRNet, DnCNN, FFDNet, SRMD, DPSR, BSRGAN, SwinIR",575,2489,2489,59,2019-12-15T19:42:25Z,19865
358,esm,Evolutionary Scale Modeling (esm): Pretrained language models for proteins,498,2477,2477,85,2020-08-31T17:41:48Z,12035
359,Resemblyzer,A python package to analyze and compare voices with deep learning,411,2453,2453,35,2019-08-15T16:39:51Z,103887
360,catalyst,An Algorithmic Trading Library for Crypto-Assets in Python,764,2445,2445,136,2017-06-13T22:31:34Z,135649
361,Awesome-Prompt-Engineering,"This repository contains a hand-curated resources for Prompt Engineering with a focus on Generative Pre-trained Transformer (GPT), ChatGPT, PaLM etc ",204,2442,2442,0,2023-02-09T18:22:52Z,215
362,OctoBot,Open source crypto trading bot,678,2441,2441,80,2018-02-23T23:13:05Z,156109
363,evadb,Database system for AI-powered apps,232,2439,2439,99,2018-09-10T02:26:03Z,215936
364,NakedTensor,Bare bone examples of machine learning in TensorFlow,155,2424,2424,1,2016-09-08T16:49:07Z,4119
365,mne-python,MNE: Magnetoencephalography (MEG) and Electroencephalography (EEG) in Python,1294,2406,2406,475,2011-01-28T03:31:13Z,161100
366,luminoth,Deep Learning toolkit for Computer Vision.,409,2397,2397,61,2017-02-16T15:07:46Z,3123
367,Surface-Defect-Detection,📈 目前最大的工业缺陷检测数据库及论文集 Constantly summarizing open source dataset and critical papers in the field of surface defect research which are of great importance.  ,455,2388,2388,14,2020-09-27T07:47:25Z,234312
368,BIG-bench,Beyond the Imitation Game collaborative benchmark for measuring and extrapolating the capabilities of language models,538,2387,2387,89,2021-01-15T23:28:20Z,940824
369,clairvoyant,Software designed to identify and monitor social/historical cues for short term stock movement,776,2381,2381,4,2016-09-12T18:38:17Z,10385
370,alignment-handbook,Robust recipes for to align language models with human and AI preferences,119,2379,2379,26,2023-08-25T11:35:34Z,136
371,Kashgari,"Kashgari is a production-level NLP Transfer learning framework built on top of tf.keras for text-labeling and text-classification, includes Word2Vec, BERT, and GPT2 Language Embedding.",442,2374,2374,27,2019-01-19T01:53:28Z,15043
372,texar,"Toolkit for Machine Learning, Natural Language Processing, and Text Generation, in TensorFlow.  This is part of the CASL project: http://casl-project.ai/",383,2369,2369,38,2017-07-22T19:02:05Z,14241
373,scikit-plot,An intuitive library to add plotting functionality to scikit-learn objects.,282,2362,2362,27,2017-02-04T06:22:59Z,3119
374,UNet-family,Paper and implementation of UNet-related model. ,500,2357,2357,5,2018-12-21T09:51:06Z,433
375,rasa_core,Rasa Core is now part of the Rasa repo: An open source machine learning framework to automate text-and voice-based conversations,1037,2329,2329,0,2017-09-18T12:07:12Z,1059972
376,decaNLP,The Natural Language Decathlon: A Multitask Challenge for NLP,437,2327,2327,8,2018-06-20T06:19:43Z,848
377,pytorch-kaldi,"pytorch-kaldi is a project for developing state-of-the-art DNN/RNN hybrid speech recognition systems. The DNN part is managed by pytorch, while feature extraction, label computation, and decoding are performed with the kaldi toolkit.",455,2323,2323,25,2018-02-27T22:16:33Z,581
378,pytorch_geometric_temporal,PyTorch Geometric Temporal: Spatiotemporal Signal Processing with Neural Machine Learning Models (CIKM 2021),320,2320,2320,22,2020-06-27T01:11:33Z,13834
379,High-Frequency-Trading-Model-with-IB,A high-frequency trading model using Interactive Brokers API with pairs and mean-reversion in Python,647,2317,2317,12,2014-05-18T19:20:13Z,1334
380,python-api-tesing,python测试开发库 中文版(持续更新)及书籍下载。公众号：pythontesting,923,2315,2315,4,2018-05-24T09:18:14Z,62824
381,autotrain-advanced,🤗 AutoTrain Advanced,278,2302,2302,136,2020-12-15T18:23:25Z,6551
382,torch-points3d,Pytorch framework for doing deep learning on point clouds.,371,2295,2295,83,2019-12-06T11:33:34Z,93941
383,ijepa,"Official codebase for I-JEPA, the Image-based Joint-Embedding Predictive Architecture. First outlined in the CVPR paper, ""Self-supervised learning from images with a joint-embedding predictive architecture.""",378,2294,2294,25,2023-06-12T14:48:10Z,33
384,SonoffLAN,Control Sonoff Devices with eWeLink (original) firmware over LAN and/or Cloud from Home Assistant,375,2288,2288,87,2019-11-16T15:26:43Z,4259
385,raspiblitz,Get your own Bitcoin & Lightning Node running - on a RaspberryPi with a nice LCD,519,2285,2285,345,2018-07-14T10:40:50Z,109701
386,tangent,Source-to-Source Debuggable Derivatives in Pure Python,446,2282,2282,21,2017-10-26T20:02:46Z,25786
387,TorBot,Dark Web OSINT Tool,481,2278,2278,6,2017-05-17T12:28:16Z,14366
388,giskard,"🐢 The testing framework for ML models, from tabular to LLMs",151,2278,2278,31,2022-03-06T21:45:37Z,159070
389,awesome-discord-communities,A curated list of awesome Discord communities for programmers,191,2274,2274,39,2019-08-21T23:17:40Z,16686
390,DialoGPT,Large-scale pretraining for dialogue,339,2269,2269,62,2019-08-29T21:07:46Z,45751
391,audio,"Data manipulation and transformation for audio signal processing, powered by PyTorch",611,2267,2267,179,2017-05-05T00:38:05Z,1366322
392,youtube-8m,Starter code for working with the YouTube-8M dataset.,863,2253,2253,22,2016-12-20T21:49:38Z,477
393,electra,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,346,2249,2249,60,2020-03-10T03:42:50Z,113
394,awesome-decision-tree-papers,"A collection of research papers on decision, classification and regression trees with implementations.",335,2238,2238,0,2019-05-11T18:14:03Z,858
395,spacy-course,👩‍🏫 Advanced NLP with spaCy: A free online course,365,2224,2224,11,2019-04-15T11:17:06Z,9427
396,SparrowRecSys,A Deep Learning Recommender System,778,2216,2216,26,2020-05-05T05:03:23Z,66590
397,favorite-link,❤️ 每天收集喜欢的开源项目 | RSS 订阅 |  快知 app 订阅,237,2213,2213,1,2018-08-29T02:18:05Z,10644
398,ICCV2019-LearningToPaint,ICCV2019 - Learning to Paint With Model-based Deep Reinforcement Learning,314,2212,2212,0,2019-03-11T03:56:03Z,19119
399,alibi,Algorithms for explaining machine learning models,274,2206,2206,134,2019-02-26T10:10:56Z,36510
400,AIF360,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.",802,2204,2204,197,2018-08-22T20:47:15Z,7696
401,federated,A framework for implementing federated learning,571,2202,2202,277,2018-12-12T23:15:35Z,90458
402,YiVal,Your Automatic Prompt Engineering Assistant for GenAI Applications,392,2200,2200,20,2023-07-15T02:04:35Z,10251
403,Ax,Adaptive Experimentation Platform,277,2181,2181,60,2019-02-09T15:23:44Z,529628
404,rlpyt,Reinforcement Learning in PyTorch,325,2175,2175,63,2019-04-28T18:29:02Z,1272
405,Auto-PyTorch,Automatic architecture search and hyperparameter optimization for PyTorch,269,2174,2174,71,2018-11-30T08:18:34Z,20347
406,awesome-sentence-embedding, A curated list of pretrained sentence and word embedding models,258,2174,2174,1,2018-12-10T15:55:01Z,289
407,openfold,"Trainable, memory-efficient, and GPU-friendly PyTorch reproduction of AlphaFold 2",373,2170,2170,126,2021-09-14T23:59:02Z,14787
408,monodepth,Unsupervised single image depth prediction with CNNs,625,2158,2158,57,2017-04-11T16:22:11Z,922
409,imbalanced-dataset-sampler,A (PyTorch) imbalanced dataset sampler for oversampling low frequent classes and undersampling high frequent ones.,268,2144,2144,26,2018-05-29T02:15:17Z,185
410,plover,Open source stenotype engine,276,2132,2132,155,2012-06-13T14:50:49Z,25619
411,MAML-Pytorch,Elegant PyTorch implementation of paper Model-Agnostic Meta-Learning (MAML),413,2119,2119,44,2018-02-01T14:19:54Z,646
412,DeepDreamVideo,implementing deep dream on video,299,2111,2111,16,2015-07-05T15:36:29Z,42350
413,BuildingMachineLearningSystemsWithPython,Source Code for the book Building Machine Learning Systems with Python,1499,2110,2110,3,2013-09-25T07:10:26Z,187727
414,public-apis,A collaborative list of public APIs for developers,227,2109,2109,1,2022-05-11T06:31:22Z,5552
415,Book,:green_book:我的个人书籍学习和收藏,901,2108,2108,2,2019-07-03T18:17:27Z,2981269
416,explainerdashboard,"Quickly build Explainable AI dashboards that show the inner workings of so-called ""blackbox"" machine learning models.",303,2106,2106,33,2019-10-30T08:26:16Z,84318
417,subword-nmt,Unsupervised Word Segmentation for Neural Machine Translation and Text Generation,462,2103,2103,2,2015-09-01T10:50:32Z,248
418,LongLoRA,Code and documents of LongLoRA and LongAlpaca,178,2100,2100,10,2023-09-21T13:10:38Z,11648
419,semantra,Multi-tool for semantic search,113,2098,2098,27,2023-03-31T03:26:49Z,9678
420,POT,POT : Python Optimal Transport,511,2088,2088,48,2016-10-20T14:42:14Z,44880
421,roboschool,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",491,2077,2077,82,2017-05-15T22:17:09Z,13334
422,modAL,A modular active learning framework for Python,354,2057,2057,96,2017-11-14T14:01:15Z,9570
423,awesome-game-security,awesome game security [Welcome to PR],315,2050,2050,0,2022-04-04T06:07:57Z,2292
424,secretflow,A unified framework for privacy-preserving data analysis and machine learning,334,2034,2034,141,2022-04-15T09:07:44Z,195714
425,causalnex,A Python library that helps data scientists to infer causation rather than observing correlation.,235,2032,2032,27,2019-12-12T15:26:09Z,23351
426,tensorflow-DeepFM,Tensorflow implementation of DeepFM for CTR prediction.,814,2030,2030,46,2017-11-11T13:49:34Z,149
427,tfx, TFX is an end-to-end platform for deploying production ML pipelines,692,2022,2022,187,2019-02-04T17:14:36Z,240612
428,AmpliGraph,Python library for Representation Learning on Knowledge Graphs https://docs.ampligraph.org,243,2021,2021,31,2019-01-09T14:52:05Z,31784
429,AudioLDM,"AudioLDM: Generate speech, sound effects, music and beyond, with text.",191,2018,2018,70,2023-01-29T22:40:38Z,2520
430,karateclub,Karate Club: An API Oriented Open-source Python Framework for Unsupervised Learning on Graphs (CIKM 2020),234,2012,2012,13,2019-12-05T17:35:56Z,29357
431,deepxde,A library for scientific machine learning and physics-informed learning,645,2007,2007,193,2019-02-08T02:19:14Z,27782
432,voxelmorph,Unsupervised Learning for Image Registration,556,1997,1997,114,2018-05-14T16:19:41Z,132348
433,The-NLP-Pandect,A comprehensive reference for all topics related to Natural Language Processing,276,1986,1986,1,2020-05-31T14:04:29Z,1175
