,Dataset ID,Repo Type,Repo Name,Filename,Comment-Introducing Revision,Comment-Removing Revision,Comment Text,Is TD?,Software TD Type,ML TD Type,ML TD Type 2,ML Pipeline Stage,NLC,PS,CS,TFI,ANL,ANC,AVT,AVM
62,aagdjigjj,Application,hackingmaterials/automatminer,matbench/pipeline.py,https://github.com/hackingmaterials/automatminer/commit/c4c970804c4f567ecf1bdbf2619493197ebf3ba9,https://github.com/hackingmaterials/automatminer/commit/2923c0b2c56103f9a424d6b4ee5292f724f6cb86,todo: should save tpot model here,Yes,Requirement,DS Configuration,,Training,0.14806867,0.078413614,0.0260181,0.042541636,0.032581454,0.009814613,0.020657797,0.129032258
63,aagejejha,Application,nengo/nengo-dl,nengo_dl/tensor_graph.py,https://github.com/nengo/nengo-dl/commit/5da45781a5cea40efb89b79b2cddc61842f03478,https://github.com/nengo/nengo-dl/commit/29e2e1c0d07c249ed638005440df0fcf7b39b65b,TODO: don't make these a constant initializer because we,Yes,Requirement,DS Configuration,,Other,0.002145923,0.11785876,0.002828054,0.065713251,0.332497911,0.332606325,0.325683666,0.279569892
64,aagfjeihb,Application,NRCan/geo-deep-learning,utils/layersmodules.py,https://github.com/NRCan/geo-deep-learning/commit/5dcbffad35048104f5fcadd9e5489ae17b222f2a,https://github.com/NRCan/geo-deep-learning/commit/31ef1ce55efcb8a98b097a371342f1a369a3fd09,TODO: something if deep 9,Yes,Requirement,Layer Conf,,Training,0.0472103,0.16188151,0.001696833,0.038377987,0.024505709,0.0087241,0.027494457,0.043010753
65,aaggcfjif,Application,ucam-smt/sgnmt,cam/sgnmt/blocks/vanilla_decoder.py,https://github.com/ucam-smt/sgnmt/commit/eb61c8e69bd99717771ac205e9d47b23fc650565,https://github.com/ucam-smt/sgnmt/commit/d07e2b22f2412b86458f31d7d4c28ec6c8f209d1,Initialize model (TODO: do i really need this?),Yes,Code,UMC ,MLKnow,Modeling,0.193133047,0.000661391,0.004524887,0.073316437,0.04427736,0.019629226,0.043015521,0.075268817
66,aagigfafa,Application,OpenNMT/OpenNMT-py,onmt/decoders/decoder.py,https://github.com/OpenNMT/OpenNMT-py/commit/522104535e9b0ab4ca4ea8213f4034e1802412f4,https://github.com/OpenNMT/OpenNMT-py/commit/eaade1dc05963c1cc638c0cf6f3f714d6a555c0e,TODO change the way attns is returned dict => list or tuple (onnx),Yes,Requirement,Data Conf,,Training,0.100858369,0.471196701,0.074660633,0.089065894,0.150654414,0.087241003,0.109053954,0.215053763
67,aahcgeaed,Application,ludwig-ai/ludwig,ludwig/data/preprocessing.py,https://github.com/ludwig-ai/ludwig/commit/984b34552ce1950fb52a436bab669a82c22e14f0,https://github.com/ludwig-ai/ludwig/commit/2774a3e165bda43d7d46ad92c262d37633638761,TODO validation_split is not used,Yes,Code,UMC ,,Data Pre,0,0.049722037,0.005090498,0.078747285,0.356725146,0.159214831,0.198891353,0.139784946
68,aahcigdjj,Application,pyro-ppl/pyro,pyro/infer/search.py,https://github.com/pyro-ppl/pyro/commit/6ea088a1b39787e5d3ab87381300f85b993e891d,https://github.com/pyro-ppl/pyro/commit/3eeb48f3af55c72a0fe554e5232628b9ed9950bf,TODO: put in infrastructure to fold over trace as it's built.,Yes,Requirement,Data Conf,,Data Pre,0.037553648,0.144339741,0.00678733,0.056118755,0.05903648,0.052344602,0.047413156,0.225806452
69,aahcjejhi,Application,pyro-ppl/pyro,pyro/distributions/planar.py,https://github.com/pyro-ppl/pyro/commit/43155bf967921f9ddccd2998d97186f0c2ff2f7a,https://github.com/pyro-ppl/pyro/commit/91ac5f645c6359930904135d50ea71390f432e09,TODO: Simplify following line once using multivariate base distributions for multivariate flows,Yes,Code,MCC,MDepend,Data Pre,0.034334764,0.144339741,0.077488688,0.391020999,0.04427736,0.016357688,0.032002956,0.150537634
70,aahddgbgb,Application,astier/model-free-episodic-control,mfec/utils.py,https://github.com/astier/model-free-episodic-control/commit/73dcb3c604376e8ffeae583d6a84e1314e8f7a07,https://github.com/astier/model-free-episodic-control/commit/e6facc4f630e1c00dbc6ee927521f7f47a8f3ae9,TODO json?,Yes,Requirement,MLKnow,DS Configuration,Data Pre,0.008583691,0.072082728,0.024886878,0.002896452,0.029239766,0.017448201,0.027679231,0.021505376
71,aahddifgi,Application,brendanhasz/probflow,src/probflow/core.py,https://github.com/brendanhasz/probflow/commit/fd1d70fc739f765ff4ef6c876f5d9cd76fb83fd9,https://github.com/brendanhasz/probflow/commit/1c0df3d4f9131d1193faee4321bf3ace08039b2b,TODO,Yes,Requirement,Data Conf,,Training,0.046137339,0.004325857,0,0.016835626,0.293511557,0.342420938,0.265594974,0.064516129
72,aahfiaifg,Tool,RaRe-Technologies/gensim,gensim/corpora/csvcorpus.py,https://github.com/RaRe-Technologies/gensim/commit/cf2693a3bf528a77b9c1de50d71208beedd67f68,https://github.com/RaRe-Technologies/gensim/commit/ac27b5c67be3f37c81720deca45f8ed242079810,"\""\""\"" || Corpus in CSV format. TODO: still serializes to SVMLight format; feel free to change this. || \""\""\""",Yes,Requirement,Data Conf,,Data Pre,0.10193133,0.157576507,0.000565611,0.040007241,0.025341131,0.018538713,0.020436068,0.129032258
73,aahgegeef,Tool,BrikerMan/Kashgari,kashgari/tasks/classification/models.py,https://github.com/BrikerMan/Kashgari/commit/9d1cb5ff1e0c2baeda33a763c0a55b26aea2053c,https://github.com/BrikerMan/Kashgari/commit/4e1620c3a1fd997b27c89c9bacf3cef0ee83a8db,TODO: maybe refactor this,Yes,Code,MCM,MCC,Modeling,0.006437768,0.021688872,0.001131222,0.029326575,0.367028683,0.020719738,0.285291944,0.021505376
74,aahgffjcf,Tool,PetrochukM/PyTorch-NLP,lib/checkpoint.py,https://github.com/PetrochukM/PyTorch-NLP/commit/0cdbcfbe4a5508e902d60152001b29fb0f331fe4,https://github.com/PetrochukM/PyTorch-NLP/commit/75a2c45d5adf897bd1754faa5b738ca73c1a8601,TODO: This should be recusive looking for any module with flatten_parameters,Yes,,Weight Conf,,Modeling,0.006437768,0.018897323,0.003959276,0.041093411,0.022834865,0.027262814,0.024722838,0.053763441
75,aahgfihag,Tool,yzhao062/pyod,pyod/models/base.py,https://github.com/yzhao062/pyod/commit/c2cc41d7cb37722ff285679176e8fae5987858c2,https://github.com/yzhao062/pyod/commit/7a232e4524a97b507cb10e98ea36399f37a8b9db,TODO: clean up these initialization,Yes,Code,MCC,HP Conf,Modeling,0.024678112,0.058069869,0.003393665,0.037653874,0.04288499,0.027262814,0.041019956,0.075268817
76,aahhdbjej,Tool,raamana/neuropredict,neuropredict/config_neuropredict.py,https://github.com/raamana/neuropredict/commit/ccf16b047a273a530269c78ea3524f5469361b7b,https://github.com/raamana/neuropredict/commit/4262fac22171608f2b45f918fe8cb298a61a91bd,find out why prefix neg_ is needed,Yes,,MLKnow,,Evaluation,0.009656652,0.024818564,0.003959276,0.038740043,0.092174882,0.002181025,0.050813008,0
77,aahibhdeh,Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/trainer/model_hooks.py,https://github.com/PyTorchLightning/pytorch-lightning/commit/1caf8beb2cf341ff033286b1b924a1c1ff273a64,https://github.com/PyTorchLightning/pytorch-lightning/commit/caf7893f27c73db227883ad00531d0ff550cbb23,TODO - refector this function to accept model_name; instance; parent so it makes more sense,Yes,Design,HP Conf,Proto,Training,0.028969957,0.19142366,0.174773756,0.249094859,0.013645224,0.015267176,0.012786401,0.021505376
78,aahibibgj,Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/callbacks/model_checkpoint.py,https://github.com/PyTorchLightning/pytorch-lightning/commit/51de6802edd6c050ba3f2803724298eb059dc5ad,https://github.com/PyTorchLightning/pytorch-lightning/commit/21cfdf68749f3872e02bc960c687b49776ba2b8a,TODO: remove when dict results are deprecated,Yes,Code,UMC,,Evaluation,0.048283262,0.19142366,0.144230769,0.256879073,0.188805347,0.142857143,0.118033999,0.086021505
79,aahicaeda,Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/accelerators/ddp_spawn_backend.py,https://github.com/PyTorchLightning/pytorch-lightning/commit/dd324e4086c0fab771e15e899a3d28b3909a9671,https://github.com/PyTorchLightning/pytorch-lightning/commit/00d155ae015e1321230678501615b4cd833749e4,todo; pass complete checkpoint as state dictionary,Yes,Requirement,Data Conf,,Training,0.060085837,0.19142366,0.002828054,0.256879073,0.06042885,0.058887677,0.068810052,0.086021505
80,aahicagej,Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/accelerators/ddp_cpu_spawn_backend.py,https://github.com/PyTorchLightning/pytorch-lightning/commit/0045119b3fd4532bf8edf17dcbaeba9bc66ba25b,https://github.com/PyTorchLightning/pytorch-lightning/commit/6bcfa8b068a22ca35b2917203bd864cae9d484b4,todo; pass also best score,Yes,Design,Weight Conf,,Training,0.065450644,0.19142366,0.001131222,0.257060101,0.013923698,0.01308615,0.014227642,0.129032258
81,aahidaegb,Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/trainer/connectors/accelerator_connector.py,https://github.com/PyTorchLightning/pytorch-lightning/commit/97a81c3cfed9d6677d411672eecb0ed38514cb04,https://github.com/PyTorchLightning/pytorch-lightning/commit/ec8d46e02b45ee6cd5713bd72b2ee7e2474c7ac1,TODO: maybe introduce a DefaultEnvironment?,Yes,,MLKnow,,Training,0.016094421,0.19142366,0.044117647,0.513758146,0.261765525,0.362050164,0.197006652,0.021505376
82,aahiiegaf,Tool,kengz/SLM-Lab,slm_lab/env/__init__.py,https://github.com/kengz/SLM-Lab/commit/f7c257ebab143ec83f1e1ffbe8dc49e3b43a628e,https://github.com/kengz/SLM-Lab/commit/cd3704616759710b50062abf3b8e8041b4b7c95f,TODO anticipate multi-agents for AEB space,Yes,Requirement,DS Configuration,,Data Acq,0.188841202,0.005653109,0.004524887,0.022085445,0.066833751,0.050163577,0.051626016,0.311827957
83,aahiifcef,Tool,kengz/SLM-Lab,slm_lab/agent/__init__.py,https://github.com/kengz/SLM-Lab/commit/39a0c98b1ec9adb55386544c870f99cb8ff8f447,https://github.com/kengz/SLM-Lab/commit/b7db501d7e0b8404f13be86ed6bcc96f2da5861f,TODO ensure submethods return np.nan for loss or explore_var instead of None,Yes,,CDT,Proto,Training,0.036480687,0.005653109,0.00678733,0.043084721,0.152882206,0.13304253,0.148595713,0.11827957
84,aahiihjjg,Tool,kengz/SLM-Lab,slm_lab/agent/algorithm/actor_critic.py,https://github.com/kengz/SLM-Lab/commit/7a249bebbed2446042bf30304bae7f90f0479812,https://github.com/kengz/SLM-Lab/commit/700780ace70cf3fb6b3f33fbf95241d9f7d48c20,TODO add method in net_util,Yes,Requirement,Proto,HP Conf,Training,0.010729614,0.005653109,0.000565611,0.080557567,0.143692565,0.090512541,0.120436068,0.043010753
85,aaibgjddj,Tool,explosion/spaCy,spacy/cli/train.py,https://github.com/explosion/spaCy/commit/a3e1791c9cdafa2459d8f81e4f8c0c8a5771bfbe,https://github.com/explosion/spaCy/commit/3a0a3b8db684eb4cc67551814e7f8f8be1675362,TODO: This might not be called corpora,Yes,Code,MCC,,Training,0.00751073,0.300955442,0.001696833,0.351737871,0.090504038,0.085059978,0.083518108,0.010752688
86,aaibgjfcg,Tool,explosion/spaCy,spacy/training/pretrain.py,https://github.com/explosion/spaCy/commit/822ea4ef619072a94ce565bf78add9f9ea9d2866,https://github.com/explosion/spaCy/commit/f98a04434a737ff64c35e5d9d8dc6797d0ce9817,TODO,Yes,Requirement,HP Conf,,Modeling,0.084763948,0.300955442,0.022624434,0.373280232,0.102478418,0.06870229,0.103769401,0.182795699
87,aaibihacc,Tool,scikit-learn/scikit-learn,scikits/learn/glm.py,https://github.com/scikit-learn/scikit-learn/commit/27d3900dceac69273f9208e983752a5338574a58,https://github.com/scikit-learn/scikit-learn/commit/a178da50b50481ea25e0c16d6833efbf25fa0e5a,TODO: I believe this is not really much used,Yes,Code,UMC,,Modeling,0.10944206,0.229221286,0.024886878,0.032585083,0.282372598,0.148309706,0.297930525,0.322580645
88,aaibihdci,Tool,scikit-learn/scikit-learn,scikits/learn/datasets/mlcomp.py,https://github.com/scikit-learn/scikit-learn/commit/434eed65b4b2eb5f0f8814467576cd808742ccfd,https://github.com/scikit-learn/scikit-learn/commit/41d3f72b7930f87bcccc9e3478c752006cdc2316,TODO: use joblib.Parallel or multiprocessing to parallelize the following,Yes,Requirement,DS Configuration,Proto,Data Acq,0.059012876,0.229221286,0.111425339,0.082186821,0.033973823,0.038167939,0.035846268,0.053763441
89,aaicaiffi,Tool,scikit-learn/scikit-learn,scikits/learn/decomposition/sparse_pca.py,https://github.com/scikit-learn/scikit-learn/commit/025ce377d5018e369546945db0bda0081d760741,https://github.com/scikit-learn/scikit-learn/commit/8fdd8275d5186c15973106837f6255236a9edb25,XXX: where should this be?,Yes,,MLKnow,,Other,0.048283262,0.229221286,0.001696833,0.134866039,0.119743804,0.083969466,0.113858093,0.043010753
90,aaicfaced,Tool,scikit-learn/scikit-learn,sklearn/random_projection.py,https://github.com/scikit-learn/scikit-learn/commit/2feb067d358050cd7a18e6589a70b6c890645429,https://github.com/scikit-learn/scikit-learn/commit/add00fa8c9986664637eb5bee235ce9877699c35,TODO: avoid conversion of sparse matrices to CSR by adding support for,Yes,Requirement,MLKnow,Proto,Data Pre,0.188841202,0.229221286,0.006221719,0.271904417,0.118629908,0.046892039,0.061012565,0.086021505
91,aaicjgced,Tool,scikit-learn/scikit-learn,sklearn/model_selection/_search.py,https://github.com/scikit-learn/scikit-learn/commit/766ba9320878ecc854edfa37988aa09096ad4adb,https://github.com/scikit-learn/scikit-learn/commit/fb7be879a3dd08c2a8209639d7624fb67d98b46e,TODO: replace by a dict in 0.21,Yes,Requirement,DS Configuration,PODT,Data Pre,0.084763948,0.229221286,0.27658371,1,0.59871902,0.19738277,0.207760532,0.11827957
92,aaidehfjf,Tool,plstcharles/thelper,thelper/data/pascalvoc.py,https://github.com/plstcharles/thelper/commit/5a5b1934e8578b059aa72001082a61e2dadd8d05,https://github.com/plstcharles/thelper/commit/1e7b8de990cf1cebe820525196dbb71b2b6bd066,TODO : gt maps are not currently transformed! (need refact w\/ dict keys),Yes,Defect,Data Conf,CDT,Data Pre,0.00751073,0.002232941,0.066742081,0.053946416,0.143414091,0.122137405,0.151589061,0.021505376
93,aaidfjifi,Tool,weiHelloWorld/accelerated_sampling_with_autoencoder,MD_simulation_on_alanine_dipeptide/current_work/src/sample_with_classifier.py,https://github.com/weiHelloWorld/accelerated_sampling_with_autoencoder/commit/269e660823e8eb7d0854af43a21109a9e7867a07,https://github.com/weiHelloWorld/accelerated_sampling_with_autoencoder/commit/97c7a618c17acd70bc9a450c4b149bcaf9242f38,TODO: modify this later,Yes,Code,Data Conf,,Data Pre,0.004291845,0.013802822,0.005090498,0.0153874,0.067669173,0.058887677,0.084515891,0.021505376
94,aaifgcjei,Tool,OpenMined/PySyft,test/torch_test.py,https://github.com/OpenMined/PySyft/commit/0a506107ff57dc2caff0cdfd20880d25446584eb,https://github.com/OpenMined/PySyft/commit/5b4e03b10e5305761f517c35da4c327ae0e43f8c,self.mpc_sum(3; -5) TODO: Future work: how to handle gracefully minus numbers,Yes,M&T,MLKnow,,Data Pre,0.003218884,1,0.001696833,0.022990587,0.369813422,0.117775354,0.704065041,0.075268817
95,aaifggehf,Tool,OpenMined/PySyft,syft/core/frameworks/torch/tensor.py,https://github.com/OpenMined/PySyft/commit/92901387678318831f0159cc8ec6a629d6c1658d,https://github.com/OpenMined/PySyft/commit/24b051c8eaddf64c59632a6b8e00ad4dc7942194,time to fix. TODO: optimize the crap out of this,Yes,Requirement,Data Conf,,Modeling,0.024678112,1,0.000565611,0.034576394,0.977165135,1,1,0.075268817
96,aaifjjccj,Tool,OpenMined/PySyft,syft/workers/base.py,https://github.com/OpenMined/PySyft/commit/c9b84f4dbc347398450e60c6d6ea504cdd8c3da2,https://github.com/OpenMined/PySyft/commit/1eb369ae3a1865789f5809bec59f066ac1cbe58d,TODO this code is currently necessary for the async_fit method in websocket_client.py,Yes,,HP Conf,,Training,0.467811159,1,0.126696833,0.211078928,0.410470621,0.278080698,0.241019956,0.247311828
97,aaiheabif,Application,flairNLP/flair,flair/models/sequence_tagger_model.py,https://github.com/flairNLP/flair/commit/49847e7fa3254b2cf09c8a87bbaaa08b197b3a0a,https://github.com/flairNLP/flair/commit/63df03eeff1b1baa573b1c926c11e0e8a8b939da,TODO: this can only be removed once the implementations of word_dropout and locked_dropout have a batch_first mode,Yes,Code,UMC,MDepend,Modeling,0.008583691,0.165358283,0.016968326,0.063359884,0.383180173,0.223555071,0.33713969,0.086021505
98,aaiibahhd,Tool,ray-project/ray,rllib/models/tf/__init__.py,https://github.com/ray-project/ray/commit/66df8b8c3522dcb47ce163f1d8f9503c094459ce,https://github.com/ray-project/ray/commit/bf25aee39228d25fe34b782ccfb02ded59f64f50,TODO(sven): Add once ModelV1 is deprecated and we no longer cause circular,Yes,Code,MDepend,,Modeling,0.024678112,0.542199454,0.104072398,0.975561188,0.003063214,0,0.00225425,0
99,aaiihdfjc,Tool,NervanaSystems/neon,neon/layers/layer.py,https://github.com/NervanaSystems/neon/commit/4ef52334c587c36bc248616f80db42e0020327c2,https://github.com/NervanaSystems/neon/commit/da492cd4d8c328694988358728841142f389e443,TODO: Set up self.batch_sum if self.bsum,Yes,Requirement,Layer Conf,HP Conf,Modeling,0.13304721,0.012691565,0.001131222,0.063178856,0.395154553,0.374045802,0.411751663,0.268817204
100,aajbebjea,Application,geomstats/geomstats,geomstats/geometry/general_linear.py,https://github.com/geomstats/geomstats/commit/3ea1a2a88e7d3c8d658ec7f850c31b6a0f0f0b53,https://github.com/geomstats/geomstats/commit/b6ca15bedc44b8de1af2f9a95979aedb4b462573,TODO Should this stay generic? (point),Yes,,MLKnow,,Data Pre,0.020386266,0.312179732,0.016968326,0.075307748,0,0,0,0
101,aajbfefjj,Application,Drakkar-Software/OctoBot,trading/trader/trades_manager.py,https://github.com/Drakkar-Software/OctoBot/commit/5285addbb0f8b75bc4fd4f76ff804f2e39cf8cb4,https://github.com/Drakkar-Software/OctoBot/commit/0a89073b076a4ee3dc433c6c50437366784b7122,TODO : market value,Yes,Requirement,Data Conf,,Data Pre,0.009656652,0.231778964,0.001131222,0.039464156,0.04149262,0.037077426,0.035772358,0.11827957
102,aajceeeid,Application,dipy/dipy,dipy/segment/bundles.py,https://github.com/dipy/dipy/commit/c973d8c8036f451db62211f7675cc1a11f87dd5e,https://github.com/dipy/dipy/commit/bd6692993db377a9ddea625004f563cfc644ac66,TODO replace with Streamlines,Yes,Requirement,CDT,,Data Pre,0.071888412,0.106375277,0.006221719,0.391564084,0.172653857,0.104689204,0.136733186,0.043010753
103,aajdbjejb,Application,automagica/automagica,automagica/gui/graphs.py,https://github.com/automagica/automagica/commit/ea759131ef4a146d2f1b736299a4eac408b28f2d,https://github.com/automagica/automagica/commit/8a4cf3bb571dfabd13296065c6d4bec28e69bc04,TODO: remove hard-coded sizes and make relative to parent?,Yes,Code,MCM,,Other,0.00751073,0.131155111,0.028846154,0.037291818,0.641882484,0.268266085,0.646858832,0.290322581
104,aajdcgacj,Application,jupyter/nbdime,nbdime/diffing/notebooks.py,https://github.com/jupyter/nbdime/commit/7ae62b8aa8553e31e5571e6dfdda108a6ed75579,https://github.com/jupyter/nbdime/commit/77cf79d473e96a5be67b9531d8a79687476a2a4e,FIXME: Use linebased diff of some types of outputs:,Yes,Requirement,Data Conf,,Data Pre,0.006437768,0.019514026,0.018665158,0.049782766,0.043163464,0.049073064,0.034331116,0.021505376
105,aajdcgebb,Application,jupyter/nbdime,nbdime/merging/generic.py,https://github.com/jupyter/nbdime/commit/2ce0ddbe7b5dbac0f03c4c0989dff0abca6c5f1c,https://github.com/jupyter/nbdime/commit/91f55c5e49846be7ec9739846c00bb87344c8404,FIXME: What about the next diff entry?,Yes,Defect,MLKnow,,Data Pre,0.442060086,0.019514026,0.001696833,0.04217958,0.154831523,0.212649945,0.159571323,0.096774194
106,aajfadgji,Application,pyannote/pyannote-audio,pyannote/audio/pipeline/speaker_diarization.py,https://github.com/pyannote/pyannote-audio/commit/f8a5b5a43184a5f6939ea8d89c17d64cef49a122,https://github.com/pyannote/pyannote-audio/commit/b7efb76e284f1cee02280dcbf2dee9b8d5c72317,FIXME don't l2_normalize for any metric,Yes,Requirement,Data Conf,,Evaluation,0.442060086,0.387129978,0.062782805,0.074583635,0.084934559,0.041439477,0.067184035,0.23655914
107,aajgdiheg,Application,mne-tools/mne-python,mne/io/kit/kit.py,https://github.com/mne-tools/mne-python/commit/2d0af5d461ee3bdcc973072da5821450075ef9ba,https://github.com/mne-tools/mne-python/commit/c27ce1d636184661e27f8ceafd3787c0d2585bb9,TODO stim channel exclusion,Yes,,Data Conf,,Data Pre,0.046137339,0.23461967,0.000565611,0.654055033,0.322194375,0.164667394,0.309940872,0.021505376
